"Techstack","Links"
"Python, YOLOv8, Deep Learning, Computer Vision, PyTorch","https://github.com/Gkasthurkumar/Fire-and-smoke-Detection"
"Python, AI, NLP, LLM, Web Scraping","https://github.com/Gkasthurkumar/mail-generator-"
"Python, Flask, AI, Speech-to-Text, Text-to-Speech","https://github.com/Gkasthurkumar/AI-Voice-Assistant"
"Python, NLP, LLM, Conversational AI, IBM Watson","https://github.com/Gkasthurkumar/oaqjp-final-project-emb-ai"
"Python, Machine Learning, Data Science, Classification","https://github.com/Gkasthurkumar"
"Python, Machine Learning, Regression, Data Science","https://github.com/Gkasthurkumar"
"C++, Python, DSA, Problem Solving","https://github.com/Gkasthurkumar"
"Python, Machine Learning, TensorFlow, AI","https://github.com/Gkasthurkumar"
"Git, GitHub, Python, Machine Learning, AI","https://github.com/Gkasthurkumar"
"Software Development, AI, Machine Learning","https://www.linkedin.com/in/kasthur-kumar-gandhavalli-a74394321/"
"problem solving ,DSA,coding skills","https://leetcode.com/u/Rc7excUAkF/"
